seg_len,alpha,gap,bayes_collapse,bayes_min_neff,bayes_min_entropy_bits,bayes_recover2,bayes_regret_bits,bayes_inertia_bits,bayes_inertia_seg2_bits,bayes_inertia_seg3_bits,bayes_inertia_boundary_max_bits,bayes_max_logodds_bits,bayes_delta_bpb_seg2,bayes_delta_bpb_seg3,bayes_oracle_adopt_seg2,bayes_oracle_adopt_seg3,bayes_predicted_time_seg2,bayes_predicted_time_seg3,fading_collapse,fading_min_neff,fading_min_entropy_bits,fading_recover2,fading_regret_bits,fading_inertia_bits,fading_inertia_seg2_bits,fading_inertia_seg3_bits,fading_inertia_boundary_max_bits,fading_max_logodds_bits,fading_delta_bpb_seg2,fading_delta_bpb_seg3,fading_oracle_adopt_seg2,fading_oracle_adopt_seg3,fading_predicted_time_seg2,fading_predicted_time_seg3,switch_excess_oracle_bits,switch_excess_viterbi_bits,switch_min_neff,switch_min_entropy_bits,switch_recover2,switch_inertia_bits,switch_inertia_seg2_bits,switch_inertia_seg3_bits,switch_inertia_boundary_max_bits,switch_max_logodds_bits,switch_delta_bpb_seg2,switch_delta_bpb_seg3,switch_oracle_adopt_seg2,switch_oracle_adopt_seg3,switch_predicted_time_seg2,switch_predicted_time_seg3,forward_vs_switch_max_diff
2000,1.0e-4,easy,2021,1.000000,0.000000,,2.584963,5.177075,42.148550,333.465285,333.465285,334.939564,-1.577163,-0.138390,80,,26.724289,2409.613691,2021,1.000000,0.000000,288,-279.464085,5.171156,20.496472,26.460599,26.460599,96.867860,-1.577163,-0.138390,63,293,12.995789,191.203777,-104.057265,-19.630448,1.000113,0.001003,42,4.783606,6.244778,0.735156,6.244778,15.981125,-1.577163,-0.138390,419,248,3.959502,5.312223,0.000e0
2000,1.0e-4,medium,2021,1.000000,0.000000,,2.584963,5.177075,42.148550,391.701661,391.701661,397.220258,-1.394640,-0.060742,110,,30.221807,6448.580436,2021,1.000000,0.000000,751,-107.154763,5.171156,20.496472,55.423482,55.423482,121.249571,-1.394640,-0.060742,63,1121,14.696602,912.436221,-147.271492,-30.093044,1.000574,0.004372,3,4.783606,6.244778,8.151716,8.151716,12.953134,-1.394640,-0.060742,97,369,4.477698,134.201612,0.000e0
2000,1.0e-4,hard,2027,1.000000,0.000000,,2.584963,3.697106,42.148550,704.309774,704.309774,681.492843,-1.099790,-0.023768,321,,38.324172,29632.739390,2027,1.000000,0.000000,,-26.242940,3.693785,20.496472,211.713443,211.713443,212.621278,-1.099790,-0.023768,96,,18.636711,8907.514129,-249.140078,-58.817171,1.000146,0.001202,3,4.388511,6.244778,13.392820,13.392820,15.031342,-1.099790,-0.023768,65,177,5.678154,563.482106,0.000e0
2000,3.0e-4,easy,2021,1.000000,0.000000,,2.584963,5.177075,42.148550,333.465285,333.465285,334.939564,-1.577163,-0.138390,80,,26.724289,2409.613691,2021,1.000000,0.000000,288,-279.464085,5.171156,20.496472,26.460599,26.460599,96.867860,-1.577163,-0.138390,63,293,12.995789,191.203777,-136.221289,-34.913411,1.000342,0.002767,21,4.687184,4.650762,0.490748,4.650762,14.394688,-1.577163,-0.138390,316,248,2.948816,3.546135,0.000e0
2000,3.0e-4,medium,2021,1.000000,0.000000,,2.584963,5.177075,42.148550,391.701661,391.701661,397.220258,-1.394640,-0.060742,110,,30.221807,6448.580436,2021,1.000000,0.000000,751,-107.154763,5.171156,20.496472,55.423482,55.423482,121.249571,-1.394640,-0.060742,63,1121,14.696602,912.436221,-193.496330,-50.739119,1.000746,0.005608,3,3.583031,4.650762,6.562452,6.562452,13.258610,-1.394640,-0.060742,97,369,3.334740,108.037573,0.000e0
2000,3.0e-4,hard,2027,1.000000,0.000000,,2.584963,3.697106,42.148550,704.309774,704.309774,681.492843,-1.099790,-0.023768,321,,38.324172,29632.739390,2027,1.000000,0.000000,,-26.242940,3.693785,20.496472,211.713443,211.713443,212.621278,-1.099790,-0.023768,96,,18.636711,8907.514129,-315.341418,-86.027633,1.000152,0.001313,3,5.188961,4.650762,11.807294,11.807294,15.068858,-1.099790,-0.023768,65,177,4.228772,496.773553,0.000e0
2000,1.0e-3,easy,2021,1.000000,0.000000,,2.584963,5.177075,42.148550,333.465285,333.465285,334.939564,-1.577163,-0.138390,80,,26.724289,2409.613691,2021,1.000000,0.000000,288,-279.464085,5.171156,20.496472,26.460599,26.460599,96.867860,-1.577163,-0.138390,63,293,12.995789,191.203777,-192.934678,-61.485385,1.001182,0.008519,18,4.676000,2.889103,0.299809,2.889103,12.652868,-1.577163,-0.138390,316,256,1.831836,2.166415,0.000e0
2000,1.0e-3,medium,2021,1.000000,0.000000,,2.584963,5.177075,42.148550,391.701661,391.701661,397.220258,-1.394640,-0.060742,110,,30.221807,6448.580436,2021,1.000000,0.000000,751,-107.154763,5.171156,20.496472,55.423482,55.423482,121.249571,-1.394640,-0.060742,63,1121,14.696602,912.436221,-271.920790,-83.200481,1.001018,0.007456,1,3.577363,2.889103,4.810739,4.810739,12.759326,-1.394640,-0.060742,97,369,2.071576,79.199140,0.000e0
2000,1.0e-3,hard,2027,1.000000,0.000000,,2.584963,3.697106,42.148550,704.309774,704.309774,681.492843,-1.099790,-0.023768,321,,38.324172,29632.739390,2027,1.000000,0.000000,,-26.242940,3.693785,20.496472,211.713443,211.713443,212.621278,-1.099790,-0.023768,96,,18.636711,8907.514129,-413.479490,-118.565192,1.000394,0.003157,1,6.925940,2.889103,10.068351,10.068351,14.336709,-1.099790,-0.023768,65,177,2.626959,423.610230,0.000e0
2000,3.0e-3,easy,2021,1.000000,0.000000,,2.584963,5.177075,42.148550,333.465285,333.465285,334.939564,-1.577163,-0.138390,80,,26.724289,2409.613691,2021,1.000000,0.000000,288,-279.464085,5.171156,20.496472,26.460599,26.460599,96.867860,-1.577163,-0.138390,63,293,12.995789,191.203777,-273.037040,-105.987325,1.001845,0.012409,18,4.644461,1.989408,0.258841,1.989408,11.491214,-0.042336,-0.138390,320,256,46.990408,1.870378,0.000e0
